Row.names,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,wild,ms_level,699_PH1_WH1 (1).mzXML,699_PH1_WH2 (1).mzXML,699_PH1_WH3 (1).mzXML,699_PH1_WH4 (1).mzXML
FT0025,101.078765694047,101.078135922325,101.095960129799,1196.06578613281,1116.64,1285.62915039062,182,4,1,216987.623372409,551112.908781739,749688.388246465,582167.791030284
FT0026,101.078759566216,101.078125248802,101.095937418407,1335.46997070312,1286.62561035156,1375.64758300781,92,4,1,441076.171490019,662610.958519889,2060983.88485393,1625470.28810804
FT0027,101.078338170251,101.022914468023,101.081332549533,176.353671386719,126.492607116699,246.640991210938,120,4,1,3550696.20498553,133829.50390625,124128.989327637,333992.08055
FT0028,101.078411298372,101.059301648882,101.079056897767,642.527099609375,524.986,746.129272460938,196,4,1,132947.590755208,345984.804214638,998648.696850001,80396.9677402353
FT0029,101.078501769477,101.059222054069,101.081047349813,433.227966308594,351.001190185547,521.953918457031,141,4,1,181072.856697591,639895.50238586,1002282.8036875,652234.079762694
FT0030,101.078377210993,101.059261814715,101.079214025032,298.295623779297,247.339752197266,348.246154785156,86,4,1,982947.757933734,827984.398094117,220118.390137207,1521682.05459612
FT0031,101.078800825568,101.078537138252,101.095984237475,2070.42578125,2012.63916015625,2129.77709960938,130,4,1,6426493.42536224,144627.979814442,207408.224107149,199110.911718751
FT0032,101.078837406273,101.078515588334,101.095914254017,1940.55,1865.82,2009.68,153,4,1,2852929.36757821,230406.452031246,232569.474199215,357401.003593752
FT0033,101.078829768034,101.078664094678,101.095917238898,2181.65649414062,2133.38891601562,2242.71240234375,117,4,1,4081644.50331761,1230764.75,105239.634765625,197895.835795895
FT0034,101.078827943902,101.078590106469,101.096083787481,2288.4521484375,2244.34,2337.66,99,4,1,4821273.61611727,191670.787659503,404015.076274677,273153.878078965
FT0035,102.099179705993,102.099073207191,102.099243829182,2162.50415039062,2061.5,2259.3,52,4,1,115531.98293359,119692.762003911,105514.399663092,137851.151044923
FT0036,102.099170589555,102.098948555371,102.099327788521,1986.94373779297,1905.61535644531,2054.44262695312,34,4,1,214339.752086179,190890.099536141,542116.222963171,186047.265810544
FT0037,102.099168075651,102.008874379332,102.099229034981,2305.755859375,2266.05,2334.2666015625,19,4,1,256691.80674866,257372.725982148,87947.3363378862,215840.961533202
FT0038,102.044899945767,102.026347925029,102.082160657487,141.948394775391,125.569694519043,167.457946777344,15,4,1,597230.901165626,664085.538484377,46439.2160365295,582991.569960941
FT0039,102.099169519252,102.099022215458,102.099328994293,1865.70239257812,1786.53918457031,1893.19360351562,10,3,1,526605.169069552,NA,195679.384277342,199643.102897133
FT0040,102.108733161519,102.079499333023,102.108780767341,1113.59912109375,1078.25366210938,1167.80236816406,6,4,1,67490.0817626929,139862.790207928,143689.240619659,85298.4753691381
FT0041,103.005678379057,103.005650636517,103.005706121597,2327.61389160156,2324.23046875,2330.99731445312,2,1,1,23286.8140950506,NA,NA,NA
FT0042,103.075071001085,103.07497688486,103.075418996723,1145.71179199219,1050.54,1251.17,69,4,1,638086.37001562,856240.752363282,358805.06072265,364370.081812141
FT0043,103.075112718279,103.075011073836,103.075151160135,1488.99145019531,1424.88,1514.82434082031,38,4,1,139097.651132809,173937.369394528,369216.154863284,175361.365791013
FT0044,103.075090486818,103.03868953717,103.075495893476,987.432556152344,914.150024414062,1044.400390625,39,4,1,83669.3077951179,485885.542148449,457468.564492181,475109.808585944
FT0045,103.075118744487,103.074986341809,103.075255027699,1356.47680664062,1299.25793457031,1404.43322753906,29,4,1,215587.690527339,1545554.400625,242373.790605468,425313.224179689
FT0046,103.075047158941,103.074785042343,103.075352438499,866.935729980469,823.616882324219,911.21,24,3,1,780705.913493044,2785589.93120915,1206883.29187776,NA
FT0047,103.07512449849,103.075076310819,103.0753018177,1603.72937011719,1602.60180664062,1604.17944335938,12,4,1,1811702.57956238,325278.199322915,1262938.07446754,426900.338518371
FT0048,103.038666686684,103.029814980059,103.038683251641,140.123,129.21,158.772613525391,3,2,1,NA,116249.23793291,43191.9407405308,NA
FT0049,104.060523880611,104.033120036793,104.060617211772,132.856872558594,123.771751403809,159.744506835938,9,4,1,231075.622277035,181338.156914063,101309.040528321,254996.26988732
FT0050,104.991994959299,104.962945064274,104.99210310199,2414.06428222656,2405.23681640625,2419.09936523438,6,4,1,65052.9909502093,23536.7835656735,14022.3750105291,28364.6272930909
FT0051,105.036502565169,105.036422572741,105.038008436269,158.781127929688,124.664741516113,189.572769165039,14,4,1,2580551.42370117,7462716.24978861,7053436.31821875,6305226.91022003
FT0052,105.092203098535,105.092023401116,105.09232451443,430.640075683594,391.831,433.227966308594,7,4,1,526228.364675895,674668.530142349,666598.886770966,319978.34508125
FT0053,105.069606908409,105.069478637669,105.069665158551,1418.80120849609,1389.51379394531,1449.17,8,4,1,2457968.53339963,159004.318593753,249553.149026488,151992.872633666
FT0054,105.092245032255,105.092242766707,105.092247297803,293.864928100586,293.858856201172,293.871,2,2,1,NA,639235.816848519,NA,639468.83846646
FT0055,105.072868802299,105.072862467575,105.072875137024,1061.44763183594,1060.7197265625,1062.17553710938,2,2,1,NA,NA,16978.1673168944,33824.2576819784
FT0056,105.069631721793,105.069606662915,105.069656780671,846.103250244141,826.575500488281,865.631,2,2,1,369860.703459178,98292.3365400405,NA,NA
FT0057,105.100345330957,105.100345330957,105.100345330957,931.811340332031,931.811340332031,931.811340332031,1,1,1,NA,NA,NA,13791.9914914551
FT0058,106.072955329747,106.072837684625,106.073017237368,1448.08471679688,1447.49609375,1448.16906738281,3,3,1,164681.741584821,NA,54295.8246597725,35359.0061289765
FT0059,106.086088816849,106.086054857919,106.086122775778,1282.59222412109,1282.46484375,1282.71960449219,2,2,1,25282.5048281252,NA,19094.8877421064,NA
FT0060,106.076285105967,106.076285105967,106.076285105967,262.406,262.406,262.406,1,1,1,NA,122382.074958985,NA,NA
