"","V1","V2","V3","V4"
"sample_name","699_PH1_WH1 (1).mzXML","699_PH1_WH2 (1).mzXML","699_PH1_WH3 (1).mzXML","699_PH1_WH4 (1).mzXML"
"sample_group","wild","wild","wild","wild"
