Row.names,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,control,ms_level,1290_IARS49_WH1 (1).mzXML,1290_IARS49_WH2.mzXML,1290_IARS49_WH3.mzXML,1290_IARS49_WH4.mzXML
FT0099,113.05942029959,113.059071769845,113.060073397939,1438.96636962891,1353.43835449219,1511.826171875,122,4,1,740740.605703109,764494.206437499,373125.409621594,1119661.67146552
FT0100,113.05939651146,113.058929155945,113.060095162925,1152.26843261719,1095.19653320312,1206.67993164062,87,4,1,1356770.29827248,799084.379576833,2486441.95812988,862813.249583288
FT0101,113.059432969759,113.059228130343,113.059684096158,1925.41,1817.73999023438,2025.52,149,4,1,598178.036072718,231137.852003903,444637.118214112,505179.238160506
FT0102,113.059423849829,113.059328543784,113.059723851601,2120.94,2027.79675292969,2211.943359375,133,4,1,118690.540601562,357027.545950189,212908.139758865,346688.469279401
FT0103,113.059437251361,113.058941195853,113.060011466865,1280.56921386719,1213.51245117188,1351.6,103,4,1,4990031.6351336,1833243.61871461,1554566.25692708,914485.723259303
FT0104,113.059414990683,113.058709570354,113.060293585551,992.882873535156,828.971,1087.31713867188,137,4,1,1139670.41612516,1227361.01292188,2919164.85811365,3382343.08651633
FT0105,113.059472153879,113.059201699446,113.05978542999,1752.79504394531,1707.19,1806.76818847656,72,4,1,2805332.93161952,283725.790611968,336045.504697266,386336.763515607
FT0106,113.059432913941,113.059371940133,113.059542598605,2285.79,2223.30102539062,2342.23754882812,89,4,1,87782.8992480424,96988.2358593687,239435.777597659,244176.430992189
FT0107,113.059460773443,113.058826525331,113.061075243404,762.8623046875,699.651733398438,818.014709472656,49,4,1,1920076.64070643,2350089.98136461,1608700.40709378,2094201.70277504
FT0108,113.059453004353,113.05639857309,113.066715346346,336.669891357422,239.451309204102,451.237609863281,71,4,1,2630535.73027498,1927468.08617186,7518685.14342106,2072672.37707813
FT0109,113.059466871986,113.05715814592,113.060179073257,167.813171386719,123.683639526367,236.199096679688,35,4,1,2726742.57600001,1848883.86621094,2046497.50615186,2001568.60724353
FT0110,113.963331645053,113.963329902067,113.963333388038,2433.15025878906,2432.52,2433.78051757812,2,2,1,NA,54398.8881605696,31348.3061635741,NA
FT0111,114.091075629316,114.081321492756,114.091538086314,1235.64270019531,1043.49987792969,1415.86804199219,356,4,1,2006541.64864846,663999.501398225,731661.303604897,1118073.27162997
FT0112,114.091078249534,114.090859152936,114.091364667582,1599.78,1416.16577148438,1774.71923828125,346,4,1,265101.487636721,272435.185546881,278811.038027353,481441.459028317
FT0113,114.091027584249,114.054550723197,114.091892988581,590.570251464844,511.61,649.419738769531,121,4,1,746498.381532163,586437.472705068,805466.142135421,629806.758051263
FT0114,114.091085999601,114.090969423625,114.091240876643,1843.10491943359,1784.111328125,1908.07629394531,110,4,1,109916.604492195,190711.61036132,256189.998753862,188857.459594727
FT0115,114.091066046153,114.090980797882,114.091197070535,2192.5,2145.6787109375,2245.93286132812,87,4,1,110132.070324707,77490.6732031259,344480.310087894,303411.728851054
FT0116,114.09103358152,114.090921237977,114.091165224202,2076.98190429687,2007.56970214844,2138.87,104,4,1,58547.7157617142,65933.6492545621,298348.914947152,168708.303365233
FT0117,114.091048899088,114.090652559403,114.108783420186,990.947021484375,952.326965332031,1032.36108398438,67,4,1,548170.51700391,557380.962695316,2299904.38387921,536447.324917967
FT0118,114.091070987906,114.090770598238,114.091568812177,863.713500976562,784.827,944.155090332031,128,4,1,1172410.30226823,1344773.29892221,1930305.16698416,495597.851874997
FT0119,114.091083949373,114.089083981058,114.095566244076,391.029124755859,307.257141113281,494.033721923828,132,4,1,800089.311091141,718909.515294186,1071362.47087857,2704247.88247409
FT0120,114.091061399064,114.090978878252,114.091256274319,1957.54046630859,1911.14,2004.47,74,4,1,177650.782591142,100568.090820311,238334.114750972,170958.86085937
FT0121,114.091059827889,114.054627368732,114.09185119674,225.697189331055,123.683639526367,306.1552734375,113,4,1,510199.76859375,649963.348541443,1055421.04139746,1620536.64881319
FT0122,114.091071431559,114.088844470165,114.09320274077,706.961120605469,677.137634277344,764.565,71,4,1,8447830.13801792,3022867.14730184,2990487.00932785,16086761.74658
FT0123,114.091064851831,114.091024024253,114.091156880643,2292.4072265625,2246.9208984375,2340.98828125,72,4,1,54738.2041137733,103725.472305229,58415.0676611345,74400.4963769509
FT0124,115.038665004896,115.036117094616,115.040766870721,156.51513671875,123.683639526367,239.700424194336,34,4,1,94048.9645673219,3937249.92700846,92626.7569347655,53419.2833344725
FT0125,115.111484476913,115.075025014407,115.111698050123,1224.91,1137.94,1302.41650390625,31,4,1,481993.447612657,1281811.98112723,680561.086826186,441715.67996093
FT0126,115.111440719728,115.111395887905,115.111616409317,1411.25,1343.75720214844,1508.1,18,2,1,NA,84466.8694335978,NA,158832.657312501
FT0127,115.066092813563,115.063577901144,115.075285753897,609.810119628906,550.397705078125,676.010009765625,9,4,1,57955.948290691,127666.6601672,134950.550880802,154214.343993687
FT0128,115.098380903675,115.053947817782,115.112188256299,1013.83923217773,1012.26,1095.19653320312,8,4,1,250179.143807779,19376.8338082449,161957.968449707,310587.442944451
FT0129,115.08155003424,115.075031368181,115.0880687003,471.328360107422,468.856,473.800720214844,2,2,1,NA,7909.26902978517,NA,463835.924119792
FT0130,115.061672761124,115.043296863182,115.075165255706,138.608926574707,125.479026794434,233.864562988281,12,4,1,47544.3681367187,170151.143761068,464189.348851929,324934.835040364
FT0131,115.09439188108,115.09439188108,115.09439188108,762.93505859375,762.93505859375,762.93505859375,1,1,1,NA,NA,NA,157611.908480469
FT0132,115.111492012478,115.111492012478,115.111492012478,1621.48,1621.48,1621.48,1,1,1,NA,80433.3290185551,NA,NA
FT0133,116.04205295825,116.041942709679,116.042141236122,142.65,123.683639526367,160.259,9,4,1,132718.843984863,118440.740742187,329991.643259248,123604.440872461
FT0134,116.070302906541,116.070268649517,116.070382586147,608.923522949219,598.003051757812,610.703,10,4,1,2064423.93978126,4105288.21232422,3763507.74360353,6534510.61954209
FT0135,116.070359444484,116.0703043159,116.07212027624,239.468,238.756210327148,240.063018798828,5,4,1,2070270.25357542,1223500.48425,4371972.73068282,6232741.46143715
FT0136,116.088038867734,116.087984303046,116.088068322221,1062.53635742187,1062.24670410156,1063.1630859375,4,4,1,718499.462292254,714562.678914311,675035.038881221,405669.429226568
FT0137,116.088007639016,116.088007639016,116.088007639016,1314.49426269531,1314.49426269531,1314.49426269531,1,1,1,30490.7445446772,NA,NA,NA
FT0138,116.070278012667,116.070239455675,116.070392641495,123.710933288574,123.683639526367,151.745468139648,8,4,1,2601629.02180371,1388685.07036231,1383009.44469433,1733446.1509375
FT0139,116.985646517461,116.980295178348,116.987891872694,2294.68334960938,2228.94897460938,2342.23754882812,53,4,1,4661898.37812479,22061600.9925379,206384.671363605,2753200.95500008
FT0140,116.985663546364,116.98550690468,116.985959901779,2170.87744140625,2108.11279296875,2223.22705078125,45,4,1,4548647.13187483,3791124.61693141,3867520.85999984,10620187.6240386
FT0141,116.985638952595,116.985358103151,116.985939426431,1914.86401367188,1831.39,1984.31,54,4,1,10102429.1897321,9390461.62861603,4859922.11249989,2634877.76249993
FT0142,116.985630229794,116.985523059498,116.985823588754,1066.1328125,1002.74719238281,1135.2,45,4,1,3478549.36086332,4804204.5822657,2604922.63609382,6678550.01424893
FT0143,116.98565114357,116.983280522878,116.985887618369,1732.28210449219,1633.42541503906,1830.55688476562,69,4,1,14282985.8877493,4995286.84921859,9660483.03486333,5974641.53004695
FT0144,116.985644765467,116.985514435304,116.985915449666,2049.69555664062,1995.45532226562,2095.58959960938,37,4,1,2585729.69395832,3450557.642002,2124347.46562498,1697218.50014659
FT0145,116.985649566522,116.985496198581,116.985827229361,1294.99568847656,1235.77136230469,1351.6,40,4,1,9084036.01618652,3808153.19999992,6891967.67642577,3960830.57765619
FT0146,116.985635249984,116.985352375224,116.98590323516,585.649605957031,487.947875976562,666.104248046875,54,4,1,1178822.13986326,1530291.20812544,571141.520749999,2262702.76032313
FT0147,116.985640634309,116.985497990693,116.985818004472,1189.15649414062,1138.01196289062,1234.6416015625,34,4,1,4251241.93110358,2613701.4000001,3075825.47999993,5297017.84705807
FT0148,116.985634587295,116.985481013312,116.985927380685,861.183166503906,788.790344238281,932.212707519531,48,4,1,1874245.83623928,2529083.11830251,5258595.36284597,1479973.76470834
FT0149,116.985627378737,116.985512497852,116.985776569275,720.002,669.9775390625,776.767,35,4,1,8757079.94916125,1677519.27101251,1643387.19429201,1122103.13681247
FT0150,116.985615699211,116.985571955266,116.985688660728,972.629532714844,939.543823242188,993.879760742188,20,4,1,2557249.24956245,8515362.9443031,2252407.18849996,1880362.79625004
FT0151,116.985574954418,116.983456512604,116.985655853408,2436.580078125,2420.34,2437.94,7,4,1,311231.442445687,438954.284125434,349232.841108396,8619.23753723133
FT0152,116.985651730644,116.98546071011,117.09074845683,1528.155,1445.97497558594,1624.19372558594,78,4,1,4661216.07421875,291228.224390623,9702317.41379867,11855146.2830769
FT0153,116.985616414607,116.985529218667,116.985916243812,413.708,323.625640869141,479.765747070312,31,4,1,808835.259142188,611341.672996102,725911.513949996,596903.358433593
FT0154,117.063860711983,117.054297146828,117.073450269281,124.581410186768,123.728866577148,124.613731384277,4,3,1,109959.509167847,57753.534936849,NA,219139.691860352
FT0155,117.090740195445,117.069536060918,117.127806949503,1200.44262695312,1114.11,1304.35498046875,39,4,1,1565071.62059109,866808.307404916,266698.31565234,1265233.98013916
FT0156,117.072825236069,117.072791982597,117.072924008829,609.801273193359,595.200927734375,610.699096679688,6,4,1,837464.785869142,840987.654113056,346559.664934615,832014.965086788
FT0157,117.073470975691,117.073410621508,117.073585100153,240.536278991699,240.416809082031,241.981903076172,4,4,1,220896.992330946,171401.24881212,164031.687236176,254312.619817117
FT0158,117.072865009944,117.072865009944,117.072865009944,703.058288574219,703.058288574219,703.058288574219,1,1,1,NA,NA,NA,51606.2672539056
FT0159,117.98901470142,117.988933476354,117.989076012027,2277.34973144531,2214.92797851562,2341.08959960938,12,1,1,155171.984783201,NA,NA,NA
FT0160,117.988996323952,117.988971168883,117.98903429839,2169.87902832031,2038.85571289062,2200.9404296875,8,1,1,243692.685110212,NA,NA,NA
FT0161,117.989006159439,117.988998675611,117.989043603529,1782.57385253906,1710.44958496094,1817.81420898438,6,1,1,397982.77748648,NA,NA,NA
FT0162,117.989002530864,117.988951585396,117.989074347877,1902.80944824219,1864.98364257812,1934.9130859375,5,1,1,76235.3559082037,NA,NA,NA
FT0163,118.086061272379,118.08600697502,118.086190451862,864.690673828125,820.103454589844,912.088317871094,29,1,1,392318.527302083,NA,NA,NA
FT0164,118.086007928691,118.085808009816,118.086054720994,950.276489257812,917.944641113281,1000.77801513672,26,1,1,171024.849734376,NA,NA,NA
FT0165,118.086000612676,118.076131691932,118.086130710671,603.529663085938,555.381652832031,657.754028320312,26,4,1,177568.839598216,849937.629408485,230968.56582422,244811.215731441
FT0166,118.086026586928,118.072926032173,118.122386640719,1093.78601074219,1036.39343261719,1253.13989257812,43,4,1,122616.506403198,22650.1799487297,37981.4650781257,57759.6675211589
FT0167,118.086063100849,118.076276130991,118.086213957138,746.702270507812,674.0478515625,799.9208984375,34,1,1,3183624.76141456,NA,NA,NA
FT0168,118.086067824014,118.046317805907,118.086284650258,160.259,125.503608703613,248.364456176758,15,3,1,115835.344326904,134162.204068799,49350.1203489585,NA
FT0169,118.08609156885,118.076220556622,118.086224629419,459.498565673828,309.377136230469,505.412261962891,18,2,1,260551.131597657,NA,NA,217479.656900024
FT0170,118.085986135167,118.085977287596,118.086086819649,1385.68518066406,1361.29272460938,1446.91882324219,9,1,1,64206.6073413099,NA,NA,NA
FT0171,118.086015249737,118.086015249737,118.086015249737,1509.12780761719,1509.12780761719,1509.12780761719,3,1,1,99315.2455051835,NA,NA,NA
FT0172,119.033601948293,119.032003233962,119.035461321761,159.266998291016,123.683639526367,194.653900146484,11,4,1,7894181.97134039,1955148.42682291,5619227.12801863,2817950.76106079
FT0173,118.978570462099,118.978467988407,118.978697205318,2432.3642578125,2429.72021484375,2432.52,4,3,1,515040.780609544,474796.817624983,NA,611430.293441188
FT0174,119.0795005411,119.071346512947,119.079768704439,598.494730957031,566.191,612.465637207031,18,4,1,6746718.05870603,2550221.1547478,1887935.2087813,2538888.76641848
FT0175,119.07950715529,119.071250365947,119.085354368818,1093.30944824219,1091.51403808594,1134.39172363281,17,4,1,268695.803664142,2122740.4361161,234601.390839156,142834.053779297
