Row.names,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,blank,ms_level,Blank1a.mzXML,Blank1b (1).mzXML,Blank1b (2).mzXML,Blank1b.mzXML
FT0028,101.078990610392,101.078627273528,101.096003650308,716.382019042969,678.871032714844,741.024,35,4,1,967139.209003448,771122.098703136,771122.098703136,771122.098703136
FT0029,101.078987175012,101.059408413291,101.079160897616,159.604995727539,129.386,207.093002319336,27,3,1,NA,2632543.10240074,2632543.10240074,2632543.10240074
FT0030,101.09562598925,101.07874248215,101.096004803179,2230.40995605469,2132.30859375,2348.15014648438,264,4,1,4881674.88453126,2752381.83507856,2752381.83507856,2752381.83507856
FT0031,101.095618599762,101.059470787553,101.096048463763,2081.01000976562,2023.55834960938,2127.85571289062,114,4,1,3310258.08273381,3192878.40416232,3192878.40416232,3192878.40416232
FT0032,101.079015539118,101.078668026104,101.096230886681,1965.8,1911.64,2015.90002441406,103,4,1,4216549.33053977,192460.916723635,192460.916723635,192460.916723635
FT0033,101.078993082372,101.078496532311,101.095996443681,1669.94995117188,1523.16,1788.47094726562,201,4,1,913221.656201753,556804.775652204,556804.775652204,556804.775652204
FT0034,101.079128847078,101.078461963522,101.096112044128,1276.83501953125,1162.40222167969,1375.40002441406,134,4,1,556828.767844236,251034.568976564,650908.174756487,650908.174756487
FT0035,101.079033710835,101.0784627082,101.09609257306,935.512,879.265,999.114013671875,79,4,1,258300.567043124,895551.350272049,895551.350272049,895551.350272049
FT0036,101.078962394957,101.078253598504,101.095989670206,1076.03999511719,1002.47528076172,1159.46,90,4,1,671309.813908855,864563.644492174,711086.251411445,711086.251411445
FT0037,102.008899539498,102.008899539498,102.008899539498,2337.22998046875,2337.22998046875,2337.23,3,3,1,NA,37253.4745962526,37253.4745962526,37253.4745962526
FT0038,102.000689492287,102.000689492287,102.000689492287,1549.06262207031,1549.06262207031,1549.06262207031,1,1,1,35452.2413190918,NA,NA,NA
FT0039,102.033662781687,102.033662781687,102.033662781687,-32.822599989891,-32.822599989891,-32.822599989891,1,1,1,390433.258567608,NA,NA,NA
FT0040,102.099175305599,102.099157030365,102.099317869175,2001.19997558594,1953.98999023438,2090.55004882812,30,4,1,192547.700631761,502554.867894343,502554.867894343,502554.867894343
FT0041,102.082077145832,102.082051939224,102.082137404772,151.21299987793,127.265998840332,182.057006835938,18,3,1,NA,82385.0301606445,31471.0340897042,31471.0340897042
FT0042,102.099193232164,102.099179326504,102.099223587887,2261.03002929688,2156.72998046875,2336.28002929688,21,3,1,NA,50282.4002270488,50282.4002270488,50282.4002270488
FT0043,102.98392663967,102.983920086162,103.006484892036,2458.31005859375,2441.67163085938,2458.31005859375,3,1,1,45283.9444738777,NA,NA,NA
FT0044,103.006262826741,102.971670766234,103.040854887248,1610.96203613281,1610.96203613281,1610.96203613281,2,1,1,133216.474886923,NA,NA,NA
FT0045,102.94818773149,102.94818773149,102.94818773149,-78.261599989891,-78.261599989891,-78.261599989891,1,1,1,56700.6557876994,NA,NA,NA
FT0046,103.075212367309,103.075212367309,103.075212367309,125.190002441406,125.19,125.190002441406,3,3,1,NA,214356.10069184,214356.10069184,214356.10069184
